pid,hid,area_siz,gender,age_gr,age,mob_use,sns_use,freq_sns1,year
2210001,22100,1,1,8,76,1,2, ,2015
2210002,22100,1,2,8,71,1,2, ,2015
2220001,22200,1,1,6,59,1,2, ,2015
2220002,22200,1,2,6,55,1,1,12,2015
2220003,22200,1,2,3,22,1,1,12,2015
2230001,22300,1,2,8,79,1,2, ,2015
2230002,22300,1,1,5,43,1,1,12,2015
2240001,22400,1,1,6,59,1,2, ,2015
2240002,22400,1,2,6,57,1,2, ,2015
2250001,22500,1,1,5,47,1,1,1,2015
2250002,22500,1,2,5,42,1,2, ,2015
2250003,22500,1,1,2,14,1,1,2,2015
2250004,22500,1,2,2,12,1,1,1,2015
2260001,22600,1,1,5,41,1,1,2,2015
2260002,22600,1,2,5,40,1,1,2,2015
2260003,22600,1,1,1,9,2,2, ,2015
2270001,22700,1,1,7,62,1,2, ,2015
2270002,22700,1,2,6,56,1,2, ,2015
2270003,22700,1,2,4,32,1,1,16,2015
2270004,22700,1,2,3,28,1,1,2,2015
2280001,22800,1,1,8,76,1,2, ,2015
2280002,22800,1,2,8,73,2,2, ,2015
2290001,22900,1,1,4,38,1,2, ,2015
2290002,22900,1,2,4,37,1,1,2,2015
2300001,23000,1,1,5,46,1,1,2,2015
2300002,23000,1,2,5,46,1,2, ,2015
2300003,23000,1,2,3,23,1,1,1,2015
2300005,23000,1,1,2,16,1,1,1,2015
2310001,23100,1,1,5,49,1,2, ,2015
2310002,23100,1,2,5,49,1,2, ,2015
2310004,23100,1,1,3,21,1,1,2,2015
2320001,23200,1,1,6,51,1,1,2,2015
2320002,23200,1,2,6,51,1,1,1,2015
2320003,23200,1,1,3,23,1,1,2,2015
2330001,23300,1,1,7,64,1,2, ,2015
2330003,23300,1,2,5,47,1,2, ,2015
2340001,23400,1,1,4,37,1,1,16,2015
2340002,23400,1,2,4,37,1,1,12,2015
2340003,23400,1,2,1,7,2,2, ,2015
2350001,23500,1,1,4,38,1,1,1,2015
2350002,23500,1,2,5,41,1,2, ,2015
2350003,23500,1,2,1,7,1,2, ,2015
2360001,23600,1,1,5,40,1,1,16,2015
2360002,23600,1,2,4,39,1,1,12,2015
2360003,23600,1,2,2,12,1,1,12,2015
2360004,23600,1,2,2,10,1,1,12,2015
2370001,23700,1,1,4,39,1,1,12,2015
2370002,23700,1,2,4,38,1,2, ,2015
2370003,23700,1,1,2,10,1,2, ,2015
2370004,23700,1,2,1,8,1,2, ,2015
2370005,23700,1,1,1,6,2,2, ,2015
2400001,24000,1,1,7,62,1,1,12,2015
2400002,24000,1,2,7,61,1,2, ,2015
2410001,24100,1,1,6,57,1,2, ,2015
2410002,24100,1,2,6,50,2,2, ,2015
2410003,24100,1,1,3,26,1,1,2,2015
2420001,24200,1,1,6,56,1,1,16,2015
2420002,24200,1,2,5,49,1,1,16,2015
2420003,24200,1,1,3,22,1,1,12,2015
2420004,24200,1,1,2,18,1,2, ,2015
2430001,24300,1,1,4,39,1,1,12,2015
2430002,24300,1,2,4,39,1,1,12,2015
2430003,24300,1,1,2,12,2,2, ,2015
2430004,24300,1,2,1,9,1,1,12,2015
2440001,24400,1,1,4,30,1,2, ,2015
2440002,24400,1,2,4,30,1,2, ,2015
2440003,24400,1,1,1,6,2,2, ,2015
2450001,24500,1,1,5,40,1,2, ,2015
2450002,24500,1,2,5,40,1,2, ,2015
2450003,24500,1,2,2,13,1,2, ,2015
2450004,24500,1,2,2,11,1,2, ,2015
2450005,24500,1,1,2,10,1,2, ,2015
2460002,24600,1,2,6,59,1,1,13,2015
2460003,24600,1,1,4,39,1,1,16,2015
2470001,24700,1,1,6,55,1,2, ,2015
2470003,24700,1,1,3,26,1,2, ,2015
2470004,24700,1,1,3,23,1,2, ,2015
2500101,25001,1,2,3,28,1,1,2,2015
2610001,26100,1,1,7,65,1,2, ,2015
2610002,26100,1,2,7,62,1,2, ,2015
2620001,26200,1,1,5,40,1,1,12,2015
2620002,26200,1,2,4,39,1,1,12,2015
2620003,26200,1,1,2,11,2,2, ,2015
2620004,26200,1,2,1,8,2,2, ,2015
2630001,26300,1,1,5,43,1,2, ,2015
2630002,26300,1,2,5,43,1,2, ,2015
2630003,26300,1,2,2,10,2,2, ,2015
2630004,26300,1,2,1,6,2,2, ,2015
2640002,26400,1,2,5,46,1,2, ,2015
2640003,26400,1,2,3,24,1,1,2,2015
2640004,26400,1,2,3,22,1,1,2,2015
2640005,26400,1,1,2,19,1,1,2,2015
2650001,26500,1,1,5,47,1,2, ,2015
2650002,26500,1,2,5,43,1,2, ,2015
2650003,26500,1,2,3,20,1,1,2,2015
2650004,26500,1,1,2,18,1,1,2,2015
2670001,26700,1,1,4,35,1,1,2,2015
2670002,26700,1,2,4,35,1,1,12,2015
2670003,26700,1,2,2,11,1,1,12,2015
2690001,26900,1,1,6,55,1,2, ,2015
2690002,26900,1,2,6,52,1,2, ,2015
2690003,26900,1,1,3,27,1,1,12,2015
2690004,26900,1,2,3,25,1,1,12,2015
2700001,27000,1,1,7,62,1,2, ,2015
2700002,27000,1,2,6,55,1,1,12,2015
2700003,27000,1,1,3,22,1,1,12,2015
2710002,27100,1,2,5,42,1,2, ,2015
2720001,27200,1,1,5,41,1,1,12,2015
2720002,27200,1,2,4,39,1,1,1,2015
2730001,27300,1,1,4,38,1,1,12,2015
2730002,27300,1,2,4,36,1,1,12,2015
2750002,27500,1,2,5,46,1,1,12,2015
2760002,27600,1,2,6,52,1,1,12,2015
2770001,27700,1,1,4,38,1,1,12,2015
2770002,27700,1,2,4,38,1,1,12,2015
2780002,27800,1,2,6,57,1,2, ,2015
2790001,27900,1,2,6,52,1,2, ,2015
2800001,28000,1,1,5,40,1,1,12,2015
2800002,28000,1,2,4,39,1,2, ,2015
2810001,28100,1,1,4,31,1,1,12,2015
2810002,28100,1,2,3,28,1,1,12,2015
2820001,28200,1,1,5,49,1,1,12,2015
2820002,28200,1,2,8,73,1,2, ,2015
2830001,28300,1,1,6,51,1,1,12,2015
2830002,28300,1,2,6,50,1,1,12,2015
2830003,28300,1,2,3,25,1,1,2,2015
2840001,28400,1,1,6,56,1,1,12,2015
2840002,28400,1,2,6,53,1,1,12,2015
2850001,28500,1,2,8,83,1,2, ,2015
2850002,28500,1,1,5,43,1,2, ,2015
2860001,28600,1,1,8,79,1,2, ,2015
2870001,28700,1,1,8,83,1,2, ,2015
2870002,28700,1,2,8,80,1,2, ,2015
2880002,28800,1,2,8,90,2,2, ,2015
2890001,28900,1,1,6,53,1,2, ,2015
2890002,28900,1,2,5,48,1,2, ,2015
2890004,28900,1,2,2,18,1,1,2,2015
2890005,28900,1,1,2,12,1,1,2,2015
2890006,28900,1,1,1,8,2,2, ,2015
2900002,29000,1,2,4,36,1,2, ,2015
2910001,29100,1,1,6,56,1,2, ,2015
2920002,29200,1,2,8,75,1,2, ,2015
2930001,29300,1,1,8,73,1,2, ,2015
2930002,29300,1,2,8,71,1,2, ,2015
2930003,29300,1,2,4,32,1,2, ,2015
2960001,29600,1,1,5,46,1,1,12,2015
2960002,29600,1,2,5,43,1,2, ,2015
2960004,29600,1,1,2,16,1,1,12,2015
2980002,29800,1,2,5,43,1,1,12,2015
2980003,29800,1,2,2,18,1,1,2,2015
2980004,29800,1,1,2,17,1,1,2,2015
3000001,30000,1,1,5,40,1,1,17,2015
3000002,30000,1,2,5,40,1,1,17,2015
3010002,30100,1,2,6,52,1,2, ,2015
3010003,30100,1,1,3,20,1,2, ,2015
3010004,30100,1,1,2,19,1,2, ,2015
3020001,30200,1,1,4,34,1,2, ,2015
3020002,30200,1,2,4,34,1,2, ,2015
3030001,30300,1,1,4,38,1,2, ,2015
3030002,30300,1,2,4,37,1,1,15,2015
3060004,30600,1,1,2,19,1,2, ,2015
3070001,30700,1,1,5,49,1,2, ,2015
3070002,30700,1,2,5,46,1,2, ,2015
3070003,30700,1,2,3,24,1,2, ,2015
3070004,30700,1,1,3,23,1,1,1,2015
3080001,30800,1,1,5,45,1,1,16,2015
3080002,30800,1,2,5,40,1,1,12,2015
3100003,31000,1,1,3,22,1,2, ,2015
3110002,31100,1,2,6,50,1,2, ,2015
3110003,31100,1,2,3,20,1,1,1,2015
3110004,31100,1,1,2,15,1,1,1,2015
3110005,31100,1,2,2,15,1,1,3,2015
3120002,31200,1,2,6,51,1,2, ,2015
3130001,31300,1,1,5,43,1,2, ,2015
3130002,31300,1,2,5,43,1,2, ,2015
3140001,31400,1,1,6,52,1,2, ,2015
3140002,31400,1,2,5,49,1,1,1,2015
3160001,31600,1,1,8,85,1,2, ,2015
