사업장명,도로명전체,인허가일자,영업상태명,위생업태명,x_wgs84,y_wgs84
카페도츠,경기도 수원시 권선구 상탑로 29 (탑동),20150130,운영중,커피숍,126.9742815158996,37.27118744930475
에이케이에스앤디(주) 파사드커피에스프레소바,"경기도 수원시 팔달구 덕영대로 924, 3층 (매산로1가, AK PLAZA)",20150202,운영중,커피숍,126.99991446398792,37.266161584438024
카페웜 망포점,"경기도 수원시 영통구 태장로82번길 33, 제분산상가동 103호 (망포동, 엘지동수원자이아파트 상가)",20150206,운영중,커피숍,127.05653382963392,37.236696271886736
갤러리오가다,"경상북도 포항시 북구 해안로 93, 4층 (두호동)",20120720,운영중,커피숍,124.87027781269322,32.57392676984479
이디야커피 선린병원점,"경상북도 포항시 북구 대신로 43, 1층 (대신동)",20140324,운영중,커피숍,124.87027781269322,32.57392676984479
1%커토김스토리,"경상북도 포항시 북구 중앙로 302-1, 1층 (상원동)",20121220,운영중,커피숍,124.87027781269322,32.57392676984479
해가빛커피앤공방,"경상북도 포항시 북구 삼흥로100번길 30, 1층 (두호동)",20131029,운영중,커피숍,124.87027781269322,32.57392676984479
드반트,"경상북도 포항시 북구 중앙상가3길 13-1, 1층 (대흥동)",20130515,운영중,커피숍,124.87027781269322,32.57392676984479
포항공과대학교 복지회(갤러리카페모네),"경상북도 포항시 남구 지곡로 64, 1층 (지곡동, 외262필지)",20100928,운영중,커피숍,124.87027781269322,32.57392676984479
COFFEE MAROON,"경상북도 포항시 북구 청하면 청하로243번길 3, 1층",20101019,운영중,커피숍,124.87027781269322,32.57392676984479
드뷔시,"경상북도 포항시 남구 대이로189번길 17-6 (이동,(1층))",20100108,운영중,커피숍,124.87027781269322,32.57392676984479
커피식스,"경상북도 포항시 북구 장량로158번길 6, 1층 (양덕동)",20131121,운영중,커피숍,124.87027781269322,32.57392676984479
눈꽃팥꽃,"경상북도 포항시 북구 학전로111번길 31, 1층 (두호동)",20131203,운영중,커피숍,124.87027781269322,32.57392676984479
커피아뜨리에,"경상북도 포항시 남구 대이로67번길 3 (대잠동,(1층,2층))",20050302,운영중,커피숍,124.87027781269322,32.57392676984479
와플반트포항홈플러스점,"경상북도 포항시 남구 중흥로 77, 2층 (상도동, 밸류플러스복합빌딩)",20130626,운영중,커피숍,124.87027781269322,32.57392676984479
요거프레소,"경상북도 포항시 북구 중앙상가2길 14-5, 2층 (남빈동)",20090417,운영중,커피숍,124.87027781269322,32.57392676984479
카페이에이치(EH),"경상북도 포항시 북구 흥해읍 한동로45번길 30-8, 2층",20140825,운영중,커피숍,124.87027781269322,32.57392676984479
타코비,"경상북도 포항시 북구 중앙상가2길 12-1, 1,2층 (대흥동)",20120402,운영중,커피숍,124.87027781269322,32.57392676984479
카페바스키아,"경상북도 포항시 남구 동해면 일월로 87, 1층",20140902,운영중,커피숍,124.87027781269322,32.57392676984479
피에스타PC,경상북도 포항시 북구 양덕로44번길 7 (양덕동),20141229,운영중,커피숍,124.87027781269322,32.57392676984479
Coffee53 포항상공회의소점,경상북도 포항시 남구 포스코대로 333 (상도동),20130722,운영중,커피숍,124.87027781269322,32.57392676984479
달빛 커피,"경상북도 포항시 북구 천마로46번길 40, 1층 (양덕동)",20130910,운영중,커피숍,124.87027781269322,32.57392676984479
블리스카페,경상북도 포항시 남구 연일읍 중명길 157,20150123,운영중,커피숍,124.87027781269322,32.57392676984479
(주)신세계푸드 -TP까페,"경상북도 포항시 남구 지곡로 394 (지곡동,외 3필지  테크노빌 101동 지하1층 B102호 내)",20110628,운영중,커피숍,124.87027781269322,32.57392676984479
키키노카페,"경상북도 포항시 남구 오천읍 정몽주로616번길 2, 1층",20141017,운영중,커피숍,124.87027781269322,32.57392676984479
러블리카페 착한커피,"경상북도 포항시 북구 학산로 68, 7층 (학산동, 롯데백화점 별관)",20141110,운영중,커피숍,124.87027781269322,32.57392676984479
커피프린스 일산MBC,"경기도 고양시 일산동구 백마로 195, 1층(일부)층 (장항동, 일산방송COMPLEX방송국 드림센터)",20081201,운영중,커피숍,126.77084143701592,37.65479780029984
요거프레소,"울산광역시 동구 봉수로 250, 302동 113-A호 (전하동, 전하푸르지오)",20150522,운영중,커피숍,129.42297854212288,35.508789434424635
요거프레소오산수청점,"경기도 오산시 내삼미로80번길 8, 1층 (수청동)",20150520,운영중,커피숍,127.06709864524667,37.16938577110888
아빠딸,대구광역시 서구 달서로30길 6-28 (비산동),20150520,운영중,커피숍,128.5717140092263,35.875561568988815
커피카페,"대구광역시 북구 칠곡중앙대로99길 32, 2층 (관음동)",20150520,운영중,커피숍,128.54689189175255,35.94143592228823
스타벅스 대전유성점,"대전광역시 유성구 온천서로 2, 지상1층 101,102호 (봉명동)",20150520,운영중,커피숍,127.33968378793233,36.35453677495073
한여름밤의꿀,"경상남도 진주시 진양호로531번길 3 (대안동, 1층일부)",20150520,운영중,커피숍,128.08335925797923,35.193014283639585
크리스피크림도넛진주평거점,"경상남도 진주시 순환로 539 (평거동, 오승빌딩 102호)",20150520,운영중,커피숍,128.06064231440595,35.17209037134168
까페드롭탑(경주블루원 워트파크점),경상북도 경주시 보불로 391 (천군동),20150520,운영중,커피숍,129.2919587228331,35.82791096094607
빽다방 아주대점,"경기도 수원시 영통구 아주로 28, 1층 (원천동)",20150520,운영중,커피숍,127.04413333843435,37.27735138569341
커피베이,"경기도 수원시 영통구 인계로220번길 6-85, 1층 (매탄동)",20150520,운영중,커피숍,127.0408787147909,37.26397511703016
옐로우박스,"경기도 수원시 영통구 대학1로8번길 8, 1층 (이의동)",20150520,운영중,커피숍,127.0427386120664,37.29716461387549
반지마을&에담,"경기도 수원시 팔달구 효원로 269, 308호 (인계동, 에스팝타워)",20150527,운영중,커피숍,127.03120207064379,37.26226257359798
차타임,"경기도 수원시 영통구 센트럴타운로 85, Cb26호 (이의동, 아브뉴프랑)",20150528,운영중,커피숍,127.05052618176234,37.29066909978224
블랙파이프,"경기도 수원시 영통구 법조로149번길 144, 1층 (하동)",20150528,운영중,커피숍,127.06964278270345,37.29200685971027
슬립 워크(SLEEP WALK),"경기도 성남시 수정구 성남대로 1334, 지하 4층 408호 (태평동)",20150603,운영중,커피숍,127.12711613447578,37.44885607837665
커피바이코지,"경기도 안산시 상록구 월피로 81, 1층 (월피동, 1층 일부)",20150603,운영중,커피숍,126.85223256617728,37.33565719078702
카페리빈,"경기도 안산시 단원구 신길로1길 86, 104호 (신길동, 신우프라자 제1동)",20150603,운영중,커피숍,126.786925350388,37.330569787197376
카페삼오삼오쩜일,"제주특별자치도 제주시 조천읍 함덕2길 82, 1층",20150609,운영중,커피숍,126.65542037388845,33.539190997323445
이성필커피,"제주특별자치도 제주시 광양8길 1, 1층 (이도이동)",20150609,운영중,커피숍,126.52918046016461,33.499978748842146
카페렌,"제주특별자치도 제주시 사라봉길 26, 1층 (건입동)",20150611,운영중,커피숍,126.5407867170287,33.51509110928111
더벤티(태종대점),부산광역시 영도구 하리해안길 2 (동삼동),20150615,운영중,커피숍,124.87027781269322,32.57392676984479
글로리즈편의점 까페,전라북도 부안군 변산면 변산해변로 796,20150615,운영중,커피숍,126.51364040546808,35.664691137870406
29.5,"서울특별시 동작구 상도로61길 8-5, 지하1층 B02호 (상도동)",20150615,운영중,커피숍,126.95558063654181,37.49508911813664
커피산책,"충청남도 천안시 서북구 한들1로 91, 4동 1층 101호 (백석동, 백석동 물류공구단지)",20150603,운영중,커피숍,127.1157610905704,36.83096379095445
디얼브라운,"경기도 용인시 처인구 지삼로590번길 10-3 (삼가동, 나동 1층일부)",20150603,운영중,커피숍,127.16630552302183,37.23987323797132
궁평리어촌계매점,"경기도 화성시 서신면 궁평항로 1049-24, 32동 2층",20150615,운영중,커피숍,126.68173424077801,37.1163780608293
할리스커피동탄중리점,"경기도 화성시 동탄치동천로3길 3-23, 101호 (영천동)",20150615,운영중,커피숍,124.87027781269322,32.57392676984479
지컵,"제주특별자치도 제주시 남성로 29, 1층 제1호 (용담일동)",20150615,운영중,커피숍,126.51263158249476,33.50278318263502
대니스카페,"제주특별자치도 제주시 우도면 우도해안길 1128, D동 1~2층",20150615,운영중,커피숍,126.96790427262617,33.49791258559816
망고레이,"경기도 수원시 영통구 대학1로8번길 47, 1층 (이의동)",20150603,운영중,커피숍,127.044112249078,37.29845814866042
이디야 황골마을,"경기도 수원시 영통구 봉영로1759번길 7, 1층 (영통동)",20150603,운영중,커피숍,127.08140452413332,37.265922724277395
커피나무,"경기도 수원시 장안구 수성로261번길 16, 109호 (정자동, 정자종합시장)",20150603,운영중,커피숍,127.00089609508716,37.29070009249928
파스쿠찌(용해점),"전라남도 목포시 용해지구로 1, 1층 (용해동)",20150603,운영중,커피숍,124.87027781269322,32.57392676984479
성호네,"부산광역시 사상구 백양대로 441, 1층 (주례동)",20150603,운영중,커피숍,129.00357616046702,35.15233054582723
레드커피,"대구광역시 서구 문화로 284, 2층 (평리동)",20150603,운영중,커피숍,128.5636728835372,35.87559695947364
미소다방,"경상북도 구미시 금오시장로9길 8, 1층 (원평동)",20150603,운영중,커피숍,128.34154691242983,36.12777710640989
무인카페 연두사과,"경상남도 양산시 장흥4길 33, 1층 (평산동)",20150603,운영중,커피숍,129.13150467067283,35.37473147308481
슈가링스,"서울특별시 강동구 상암로 51, 1층 (암사동)",20150603,운영중,커피숍,127.12923301192042,37.54953634253986
mill,"서울특별시 은평구 연서로5길 8 (역촌동, 1층 우측)",20150603,운영중,커피숍,126.91457065145998,37.604161932596476
보케르커피,"대구광역시 북구 동천로23길 36, 1층 (동천동)",20150603,운영중,커피숍,128.55658114790492,35.94268489855326
베베,"대구광역시 남구 도촌길 117-9, 1층 (대명동)",20150624,운영중,커피숍,128.566513221447,35.84017870000854
달콩커피,대구광역시 남구 대명로 298 (대명동),20150629,운영중,커피숍,128.58882088444818,35.84431112761146
쿠잉,"제주특별자치도 제주시 월랑북길 37, 102호 (노형동)",20150619,운영중,커피숍,126.47706654911666,33.49269422608153
오래된엘피,"제주특별자치도 제주시 동고산로 27, 2층 (이도이동)",20150624,운영중,커피숍,126.53371159434148,33.49893689313769
문화카페별차롱,"제주특별자치도 제주시 한림읍 금능길 39, 1층",20150625,운영중,커피숍,126.22717753655598,33.387830039409984
아이빔,서울특별시 강북구 한천로162길 26 (수유동),20150622,운영중,커피숍,127.02020665444896,37.64642790062288
초록나무사진관,서울특별시 강북구 한천로 982 (번동),20150624,운영중,커피숍,127.03186274256977,37.636968440203745
위드유,"경상북도 포항시 남구 오천읍 정몽주로 563-4, 2층",20150622,운영중,커피숍,124.87027781269322,32.57392676984479
커피야,"경상북도 포항시 북구 삼흥로35번길 14-9 (장성동, 장성시장B동11호)",20150629,운영중,커피숍,124.87027781269322,32.57392676984479
그레코카페,"부산광역시 북구 낙동북로681번길 46, 씨동 1층 102호 (구포동)",20150608,운영중,커피숍,124.87027781269322,32.57392676984479
비씨800 커피앤티,"광주광역시 서구 금화로383번길 14, 1층 (화정동)",20150608,운영중,커피숍,126.88701311170772,35.14303887200787
비씨800,"광주광역시 서구 금화로383번길 14, 2층 (화정동)",20150608,운영중,커피숍,126.88701311170772,35.14303887200787
카페탑,"강원도 속초시 번영로 43 (금호동, 18-9)",20150608,운영중,커피숍,128.58284187973348,38.20436911417149
(주)원더브라더스2,"경기도 성남시 분당구 탄천상로151번길 20, C동 지하1층 B36,37호 (구미동, 월드쇼핑 애플프라자 C동)",20150619,운영중,커피숍,127.10697097031259,37.34004609624074
모노클나인,"경기도 남양주시 늘을2로14번길 5, 117호 (호평동, 샤르망메디칼프라자)",20150608,운영중,커피숍,127.24456519226527,37.65411717050192
카페인더애틱 보문역점,서울특별시 성북구 지봉로 183 (보문동2가),20150608,운영중,커피숍,124.87027781269322,32.57392676984479
뜨란채,"대전광역시 중구 보문산공원로 477-8, 1,2층 (대사동)",20150608,운영중,커피숍,127.42055755708952,36.31159341310851
커피퐁당,"경기도 남양주시 별내중앙로 34, 106호 (별내동, 로뎀타워)",20150604,운영중,커피숍,127.12542276560752,37.64616288688577
양삼커피,경기도 남양주시 와부읍 덕소로284번길 10-5,20150604,운영중,커피숍,127.22495385688124,37.5770224982994
