사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
통파이브(예술공원점),"경기도 안양시 만안구 예술공원로131번길 8, 지하1층 (석수동)",20141212,운영중,통닭(치킨),192999.534263,535509.096418,126.92091742700362,37.41892724737012
토니치킨,"경기도 안양시 동안구 관평로 80, 109,110,111호 (평촌동, 꿈마을아파트상가 )",20081017,운영중,통닭(치킨),196961.124917,531780.719929,126.96568587055275,37.385355261469364
한솥도시락(대림대점),"경기도 안양시 동안구 임곡로 16, 가상가동 107호 (비산동, 임곡휴먼시아(아))",20090324,운영중,통닭(치킨),193921.709402,533619.771855,126.93135054564264,37.40191058058278
홍가네치킨,"경기도 안양시 만안구 삼덕로 30-1, 지상1층 (안양동)",19930915,운영중,통닭(치킨),193123.179518,532632.736713,126.92234097008885,37.39301160683481
처가집양념통닭,"경기도 안양시 만안구 안양로329번길 47, 지상1층 (안양동)",20140918,운영중,통닭(치킨),192616.022387,533491.190731,126.91660514694296,37.40074255723738
79통닭,"경기도 안양시 만안구 냉천로125번길 4, 1층 (안양동)",20140925,운영중,통닭(치킨),193224.960731,532529.808296,126.92349131357138,37.39208494868256
태양,"경기도 안양시 동안구 엘에스로 49 (호계동, 지상1층)",20141001,운영중,통닭(치킨),195945.903311,529862.296696,126.95423277859734,37.368065912788815
아프리카비어,"경기도 안양시 동안구 평촌대로217번길 25 (호계동, 동화프라자 201호)",20111202,운영중,통닭(치킨),195966.710134,532345.510902,126.95445414085063,37.390440366692914
치킨더부네,"경기도 안양시 만안구 양화로 8, 지상1층 (안양동)",20150302,운영중,통닭(치킨),192545.73435,532823.675652,126.91581803994272,37.394727545115366
봉이치킨,경기도 안양시 동안구 관악대로325번길 28 (관양동),19841008,운영중,통닭(치킨),196460.587833,533886.060608,126.96002387345506,37.40432306867443
윙위니,"경기도 안양시 동안구 엘에스로 76 (호계동, 디오밸리 154호)",20060619,운영중,통닭(치킨),195758.279614,530256.440623,126.95211241387784,37.37161641231086
페리카나,"경기도 안양시 만안구 박달로525번길 44, 1층 (박달동)",20150116,운영중,통닭(치킨),192052.475921,533910.220534,126.91023594045407,37.40451343888534
올드치킨,"경기도 안양시 동안구 흥안대로456번길 10 (평촌동, 지상1층)",20111213,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
피자마루충훈부점,"경기도 안양시 만안구 와룡로 34, 101호 (석수동)",20120206,운영중,통닭(치킨),190944.68584,534236.032508,126.8977199276632,37.40743890592956
웰빙엄마손꼬마김밥,경기도 안양시 동안구 경수대로570번길 18 (호계동),20000516,운영중,통닭(치킨),196353.613417,530506.51715,126.95883229777618,37.37387219550269
초대석치킨,경기도 안양시 동안구 평촌대로374번길 11 (비산동),19971128,운영중,통닭(치킨),195604.463342,533860.142546,126.9503544754192,37.40408587698631
도토베르구이치킨,"경기도 안양시 동안구 동편로39번길 11, 지상1층 (관양동)",20121030,폐업 등,통닭(치킨),197573.475738,534277.411792,126.97259217401424,37.40785280422505
얼큰이,강원도 동해시 동굴로 61-10 (천곡동),20011023,운영중,통닭(치킨),386618.134544,548681.511017,129.11086145292157,37.518770176297885
파인치킨 송정점,강원도 동해시 송정중앙로 41 (송정동),20010122,운영중,통닭(치킨),388030.555761,546341.693511,129.12622959114944,37.49741631339889
맛있는파닭&코리엔탈깻잎칩킨(북삼점),"강원도 동해시 효자남길 6-1, 나동 201호 (동회동, 협성상가)",20111024,운영중,통닭(치킨),386525.451042,545118.755913,129.1089108687574,37.48671008729456
가마솥통닭,강원도 동해시 효자남길 20 (동회동),20090928,운영중,통닭(치킨),386512.985587,545263.341052,129.1088066288347,37.488014441659104
투존치킨천곡점,강원도 동해시 항골1길 9 (천곡동),20140702,운영중,통닭(치킨),386150.059319,549391.71473,129.10575006304833,37.52525928559692
동해닭강정,"강원도 동해시 한섬로 87, 점포1호 (천곡동, 동해천곡주공2차아파트)",20110728,운영중,통닭(치킨),386809.508571,548937.71234,129.1130898425351,37.52103828492567
처갓집천곡점,강원도 동해시 천곡로 36 (천곡동),20131112,운영중,통닭(치킨),386453.519009,549287.909659,129.10915437939695,37.52426339076784
땅땅치킨천곡점,강원도 동해시 한섬로 28 (천곡동),20120716,운영중,통닭(치킨),386265.162265,548773.318759,129.10689466528171,37.51966807993238
강정이기가막혀 발한점,"강원도 동해시 발한로 244, 1층 라호 (발한동)",20070427,운영중,통닭(치킨),386229.841828,552226.31598,129.10737047605264,37.55076564636511
열봉이,"경기도 광명시 충현로 4, 1층 (소하동)",20130212,운영중,통닭(치킨),189414.885174,537397.900586,126.8803955074528,37.43591163725276
치킨뱅이,"경기도 광명시 안재로14번길 12 (하안동, 1층)",20121005,운영중,통닭(치킨),188748.525615,540068.2049,126.87282539938332,37.459963537361396
